id_certificado,nro_certificado,fecha_aplicacion,fecha_vencimiento,hora_aplicacion,proximo_tratamiento,estado,id_cliente,created_ad,updated_ad,id_rubro,id_tratamiento,id_vector,superfice,id_drogas,codigo,id_tipo_cliente,observaciones_certificado,id_tecnico,,
45,2804,4/11/2014,4/2/2015,13:00:00,4/2/2015,1,2095,,,1,1,1,H/300,1,100.00,,1,,,
46,2805,4/11/2014,4/2/2015,13:00:00,4/2/2015,1,1262,,,1,1,1,H/300,1,100.00,,1,,,
47,2806,4/11/2014,4/2/2015,13:00:00,4/2/2015,1,2494,,,1,1,1,H/300,1,300.00,,2,,,
48,2807,4/11/2014,4/1/2015,19:00:00,4/1/2015,1,754,,,1,1,1,H/300,1,350.00,,2,,,
49,2804,4/11/2014,4/2/2015,13:00:00,4/2/2015,1,2095,,,1,1,1,H/300,1,100.00,,1,,,
50,2806,4/11/2014,4/2/2015,13:00:00,4/2/2015,1,978,,,1,1,1,H/300,1,100.00,,1,,,
51,2807,4/11/2014,4/2/2015,13:00:00,4/2/2015,1,2123,,,1,1,1,H/300,1,150.00,,1,,,
52,255,4/9/2014,4/12/2014,19:31:31,4/12/2014,1,2003,,,1,1,1,,1,0.00,,1,,,
53,2808,5/11/2014,5/2/2015,12:00:00,5/2/2015,1,2128,,,1,1,1,H/300,1,400.00,,2,,,
54,2809,5/11/2014,5/12/2014,13:00:00,5/12/2014,1,793,,,1,1,1,H/300,1,100.00,,1,,,
55,2810,5/11/2014,5/1/2015,16:30:00,5/1/2015,1,890,,,1,1,1,H/300,1,350.00,,2,,,
56,2811,5/11/2014,5/2/2015,16:00:00,5/2/2015,1,930,,,1,1,1,H/300,1,500.00,,2,,,
57,2812,5/11/2014,5/2/2015,19:30:00,5/2/2015,1,2178,,,1,1,1,H/300,1,480.00,,2,,,
58,2813,5/11/2014,5/2/2015,13:00:00,5/2/2015,1,1144,,,1,1,1,H/300,1,100.00,,1,,,
59,2814,5/11/2014,5/2/2015,13:00:00,5/2/2015,1,209,,,1,1,1,H/300,1,100.00,,1,,,
60,2815,5/11/2014,5/2/2015,13:00:00,5/2/2015,1,2471,,,1,1,1,H/300,1,100.00,,1,,,
61,2816,5/11/2014,5/2/2015,13:00:00,5/2/2015,1,2305,,,1,1,1,H/300,1,100.00,,1,,,
62,2817,5/11/2014,5/2/2015,13:00:00,5/2/2015,1,2054,,,1,1,1,H/300,1,100.00,,1,,,
63,2818,5/11/2014,5/2/2015,13:00:00,5/2/2015,1,2333,,,1,1,1,H/300,1,100.00,,1,,,
64,2819,5/11/2014,5/2/2015,13:00:00,5/2/2015,1,2605,,,1,1,1,H/300,1,100.00,,1,,,
65,2820,5/11/2014,5/2/2015,13:00:00,5/2/2015,1,201,,,1,1,1,H/300,1,250.00,,1,,,
66,2821,5/11/2014,5/2/2015,13:00:00,5/2/2015,1,194,,,1,1,1,H/300,1,200.00,,1,,,
67,2824,5/11/2014,5/1/2015,13:00:00,5/1/2015,1,2212,,,1,1,1,H/300,1,300.00,,2,,,
68,2828,5/11/2014,3/12/2014,13:00:00,3/12/2014,1,1525,,,1,1,1,H/300,1,1200.00,,2,,,
69,3434,6/11/2014,6/12/2014,1:00:00,6/12/2014,1,1798,,,1,1,1,H/300,1,700.00,,2,,,
70,2832,6/11/2014,6/1/2015,16:00:00,6/1/2015,1,1230,,,1,1,1,H/300,1,330.00,,2,,,
71,2833,6/11/2014,6/2/2015,13:00:00,6/2/2015,1,361,,,1,1,1,H/300,1,100.00,,1,,,
72,2834,6/11/2014,6/2/2015,13:00:00,6/2/2015,1,2634,,,1,1,1,H/300,1,100.00,,1,,,
73,2835,6/11/2014,6/2/2015,13:00:00,6/2/2015,1,1897,,,1,1,1,H/300,1,100.00,,1,,,
74,2936,6/11/2014,6/2/2015,13:00:00,6/2/2015,1,2090,,,1,1,1,H/300,1,100.00,,1,,,
75,2837,6/11/2014,6/2/2015,13:30:00,6/2/2015,1,854,,,1,1,1,H/300,1,300.00,,2,,,
76,2838,6/11/2014,6/2/2015,13:00:00,6/2/2015,1,387,,,1,1,1,H/300,1,100.00,,1,,,
77,2839,6/11/2014,6/2/2015,13:00:00,6/2/2015,1,837,,,1,1,1,H/300,1,100.00,,1,,,
78,2840,6/11/2014,6/1/2015,11:00:00,6/1/2015,1,1035,,,1,1,1,H/300,1,370.00,,2,,,
79,2841,6/11/2014,6/2/2015,13:00:00,6/2/2015,1,2070,,,1,1,1,H/300,1,400.00,,2,,,
80,3435,6/11/2014,6/12/2014,0:00:00,6/12/2014,1,1901,,,1,1,1,H/300,1,550.00,,2,,,
81,2843,6/11/2014,6/12/2014,0:00:00,6/12/2014,1,2611,,,1,1,1,H/300,1,700.00,,2,,,
82,3436,6/11/2014,6/12/2014,0:00:00,6/12/2014,1,2689,,,1,1,1,H/300,1,550.00,,2,,,
83,2846,6/11/2014,6/2/2015,13:00:00,6/2/2015,1,256,,,1,1,1,H/300,1,100.00,,1,,,
84,2846,6/11/2014,6/1/2015,13:00:00,6/1/2015,1,2064,,,1,1,1,H/300,1,100.00,,1,,,
85,2847,7/11/2014,7/5/2015,13:00:00,7/5/2015,1,731,,,1,1,1,H/300,1,120.00,,1,,,
86,2848,7/11/2014,7/5/2015,13:00:00,7/5/2015,1,732,,,1,1,1,H/300,1,120.00,,1,,,
87,2849,7/11/2014,7/3/2015,13:00:00,7/3/2015,1,733,,,1,1,1,H/300,1,120.00,,1,,,
88,2850,7/11/2014,7/3/2015,13:00:00,7/3/2015,1,734,,,1,1,1,H/300,1,120.00,,1,,,
89,2851,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,2647,,,1,1,1,H/300,1,100.00,,1,,,
90,2852,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,1381,,,1,1,1,H/300,1,100.00,,1,,,
91,2853,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,1447,,,1,1,1,H/300,1,100.00,,1,,,
92,2854,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,1549,,,1,1,1,H/300,1,100.00,,1,,,
93,2855,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,1271,,,1,1,1,H/300,1,100.00,,1,,,
94,2856,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,1272,,,1,1,1,H/300,1,100.00,,1,,,
95,2857,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,383,,,1,1,1,H/300,1,100.00,,1,,,
96,2858,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,1733,,,1,1,1,H/300,1,100.00,,1,,,
97,2859,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,1538,,,1,1,1,H/300,1,100.00,,1,,,
98,2860,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,520,,,1,1,1,H/300,1,100.00,,1,,,
99,2861,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,988,,,1,1,1,H/300,1,400.00,,2,,,
100,2862,7/11/2014,7/1/2015,13:00:00,7/1/2015,1,571,,,1,1,1,H/300,1,900.00,,2,,,
101,3437,7/11/2014,7/12/2014,13:00:00,7/12/2014,1,1800,,,1,1,1,H/300,1,600.00,,2,,,
102,2864,7/11/2014,7/1/2015,13:00:00,7/1/2015,1,1786,,,1,1,1,H/300,1,100.00,,1,,,
103,2865,8/11/2014,8/2/2015,13:00:00,8/2/2015,1,1713,,,1,1,1,H/300,1,100.00,,1,,,
104,2866,8/11/2014,8/2/2015,12:00:00,8/2/2015,1,1444,,,1,1,1,H/300,1,300.00,,2,,,
105,2867,7/11/2014,7/2/2015,13:00:00,7/2/2015,1,1732,,,1,1,1,H/300,1,100.00,,1,,,
106,2868,8/11/2014,8/2/2015,12:30:00,8/2/2015,1,1376,,,1,1,1,H/300,1,300.00,,2,,,
107,2869,8/11/2014,8/2/2015,13:30:00,8/2/2015,1,2593,,,1,1,1,H/300,1,400.00,,2,,,
108,2870,8/11/2014,8/2/2015,13:30:00,8/2/2015,1,2643,,,1,1,1,H/300,1,100.00,,1,,,
109,2871,10/11/2014,10/2/2015,12:00:00,10/2/2015,1,2264,,,1,1,1,H/300,1,400.00,,2,,,
110,2873,10/11/2014,10/1/2015,18:00:00,10/1/2015,1,2048,,,1,1,1,H/300,1,500.00,,2,,,
111,2874,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,1270,,,1,1,1,H/300,1,100.00,,1,,,
112,2875,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,2506,,,1,1,1,H/300,1,100.00,,1,,,
113,2876,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,1920,,,1,1,1,H/300,1,100.00,,1,,,
114,2877,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,1638,,,1,1,1,H/300,1,100.00,,1,,,
115,2878,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,1194,,,1,1,1,H/300,1,200.00,,1,,,
116,2879,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,527,,,1,1,1,H/300,1,200.00,,1,,,
117,2880,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,1649,,,1,1,1,H/300,1,100.00,,1,,,
118,2881,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,1136,,,1,1,1,H/300,1,100.00,,1,,,
119,2882,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,509,,,1,1,1,H/300,1,100.00,,1,,,
120,2883,10/11/2014,10/2/2015,14:30:00,10/2/2015,1,850,,,1,1,1,H/300,1,220.00,,2,,,
121,2884,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,1544,,,1,1,1,H/300,1,100.00,,1,,,
122,2885,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,2301,,,1,1,1,H/300,1,300.00,,2,,,
123,2886,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,634,,,1,1,1,H/300,1,100.00,,1,,,
124,2887,10/11/2014,10/2/2015,16:00:00,10/2/2015,1,2618,,,1,1,1,H/300,1,500.00,,2,,,
125,2887,10/11/2014,10/2/2015,13:00:00,10/2/2015,1,861,,,1,1,1,H/300,1,100.00,,1,,,
126,2888,10/11/2014,10/2/2015,21:00:00,10/2/2015,1,2403,,,1,1,1,H/300,1,600.00,,2,,,
127,2889,10/11/2014,10/1/2015,13:00:00,10/1/2015,1,2505,,,1,1,1,H/300,1,1900.00,,2,,,
128,2890,10/11/2014,10/1/2015,0:00:00,10/1/2015,1,1820,,,1,1,1,H/300,1,400.00,,2,,,
129,2891,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,814,,,1,1,1,H/300,1,100.00,,1,,,
130,2892,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,2201,,,1,1,1,H/300,1,100.00,,1,,,
131,2893,11/11/2014,11/2/2015,14:00:00,11/2/2015,1,305,,,1,1,1,H/300,1,300.00,,2,,,
132,2894,11/11/2014,11/2/2015,21:30:00,11/2/2015,1,1760,,,1,1,1,H/300,1,300.00,,2,,,
133,2895,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,2650,,,1,1,1,H/300,1,100.00,,1,,,
134,2896,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,1398,,,1,1,1,H/300,1,100.00,,1,,,
135,2897,11/11/2014,11/12/2014,16:00:00,11/12/2014,1,2558,,,1,1,1,H/300,1,100.00,,2,,,
136,2898,11/11/2014,11/12/2014,19:00:00,11/12/2014,1,2664,,,1,1,1,H/300,1,800.00,,2,,,
137,2899,11/11/2014,11/12/2014,19:00:00,11/12/2014,1,2331,,,1,1,1,H/300,1,400.00,,2,,,
138,2900,11/11/2014,11/12/2014,19:00:00,11/12/2014,1,2245,,,1,1,1,H/300,1,300.00,,2,,,
139,2904,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,1958,,,1,1,1,H/300,1,100.00,,1,,,
140,2905,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,2342,,,1,1,1,H/300,1,200.00,,1,,,
141,2906,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,2651,,,1,1,1,H/300,1,100.00,,1,,,
142,2907,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,2392,,,1,1,1,H/300,1,100.00,,1,,,
143,2909,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,1045,,,1,1,1,H/300,1,100.00,,1,,,
144,2910,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,1791,,,1,1,1,H/300,1,100.00,,1,,,
145,2911,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,1036,,,1,1,1,H/300,1,100.00,,1,,,
146,2912,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,1173,,,1,1,1,H/300,1,100.00,,1,,,
