52,255,1,1,,1,,,,1,,2014-09-04,2014-12-04,19:31:31,2014-12-04, ,0.00,2003,1,
53,2808,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,12:00:00,2015-02-05, ,400.00,2128,2,
54,2809,1,1,,1,,H/300,C,1,,2014-11-05,2014-12-05,13:00:00,2014-12-05, ,100.00,793,1,
55,2810,1,1,,1,,H/300,C,1,,2014-11-05,2015-01-05,16:30:00,2015-01-05, ,350.00,890,2,
56,2811,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,16:00:00,2015-02-05, ,500.00,930,2,
57,2812,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,19:30:00,2015-02-05, ,480.00,2178,2,
58,2813,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,13:00:00,2015-02-05, ,100.00,1144,1,
59,2814,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,13:00:00,2015-02-05, ,100.00,209,1,
60,2815,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,13:00:00,2015-02-05, ,100.00,2471,1,
61,2816,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,13:00:00,2015-02-05, ,100.00,2305,1,
62,2817,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,13:00:00,2015-02-05, ,100.00,2054,1,
63,2818,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,13:00:00,2015-02-05, ,100.00,2333,1,
64,2819,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,13:00:00,2015-02-05, ,100.00,2605,1,
65,2820,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,13:00:00,2015-02-05, ,250.00,201,1,
66,2821,1,1,,1,,H/300,C,1,,2014-11-05,2015-02-05,13:00:00,2015-02-05, ,200.00,194,1,
67,2824,1,1,,1,,H/300,C,1,,2014-11-05,2015-01-05,13:00:00,2015-01-05, ,300.00,2212,2,
68,2828,1,1,,1,,H/300,C,1,,2014-11-05,2014-12-03,13:00:00,2014-12-03, ,1200.00,1525,2,
69,3434,1,1,,1,,H/300,C,1,,2014-11-06,2014-12-06,01:00:00,2014-12-06, ,700.00,1798,2,
70,2832,1,1,,1,,H/300,C,1,,2014-11-06,2015-01-06,16:00:00,2015-01-06, ,330.00,1230,2,
71,2833,1,1,,1,,H/300,C,1,,2014-11-06,2015-02-06,13:00:00,2015-02-06, ,100.00,361,1,
72,2834,1,1,,1,,H/300,C,1,,2014-11-06,2015-02-06,13:00:00,2015-02-06, ,100.00,2634,1,
73,2835,1,1,,1,,H/300,C,1,,2014-11-06,2015-02-06,13:00:00,2015-02-06, ,100.00,1897,1,
74,2936,1,1,,1,,H/300,C,1,,2014-11-06,2015-02-06,13:00:00,2015-02-06, ,100.00,2090,1,
75,2837,1,1,,1,,H/300,C,1,,2014-11-06,2015-02-06,13:30:00,2015-02-06, ,300.00,854,2,
76,2838,1,1,,1,,H/300,C,1,,2014-11-06,2015-02-06,13:00:00,2015-02-06, ,100.00,387,1,
77,2839,1,1,,1,,H/300,C,1,,2014-11-06,2015-02-06,13:00:00,2015-02-06, ,100.00,837,1,
78,2840,1,1,,1,,H/300,C,1,,2014-11-06,2015-01-06,11:00:00,2015-01-06, ,370.00,1035,2,
79,2841,1,1,,1,,H/300,C,1,,2014-11-06,2015-02-06,13:00:00,2015-02-06, ,400.00,2070,2,
80,3435,1,1,,1,,H/300,C,1,,2014-11-06,2014-12-06,00:00:00,2014-12-06, ,550.00,1901,2,
81,2843,1,1,,1,,H/300,C,1,,2014-11-06,2014-12-06,00:00:00,2014-12-06, ,700.00,2611,2,
82,3436,1,1,,1,,H/300,C,1,,2014-11-06,2014-12-06,00:00:00,2014-12-06, ,550.00,2689,2,
